gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,5.71359e-33
1,0,0,5.71359e-33
2,0,0,5.71359e-33
3,0,0,5.71359e-33
4,0,0,5.71359e-33
5,0,0,5.71359e-33
6,0,0,5.71359e-33
7,0,0,5.71359e-33
8,0,0,5.71359e-33
9,0,0,5.71359e-33
10,0,0,5.71359e-33
11,0,0,5.71359e-33
12,0,0,5.71359e-33
13,0,0,5.71359e-33
14,0,0,5.71359e-33
15,0,0,5.71359e-33
16,0,0,5.71359e-33
17,0,0,5.71359e-33
18,0,0,5.71359e-33
19,0,0,5.71359e-33
20,0,0,5.71359e-33
21,0,0,5.71359e-33
22,0,0,5.71359e-33
23,0,0,5.71359e-33
24,0,0,5.71359e-33
25,0,0,5.71359e-33
26,0,0,5.71359e-33
27,0,0,5.71359e-33
28,0,0,5.71359e-33
29,0,0,5.71359e-33
30,0,0,5.71359e-33
31,0,0,5.71359e-33
32,0,0,5.71359e-33
33,0,0,5.71359e-33
34,0,0,5.71359e-33
35,0,0,5.71359e-33
36,0,0,5.71359e-33
37,0,0,5.71359e-33
38,0,0,5.71359e-33
39,0,0,5.71359e-33
40,0,0,5.71359e-33
41,0,0,5.71359e-33
42,0,0,5.71359e-33
43,0,0,5.71359e-33
44,0,0,5.71359e-33
45,0,0,5.71359e-33
46,0,0,5.71359e-33
47,0,0,5.71359e-33
48,0,0,5.71359e-33
49,0,0,5.71359e-33
50,0,0,5.71359e-33
51,0,0,5.71359e-33
52,0,0,5.71359e-33
53,0,0,5.71359e-33
54,0,0,5.71359e-33
55,0,0,5.71359e-33
56,0,0,5.71359e-33
57,0,0,5.71359e-33
58,0,0,5.71359e-33
59,0,0,5.71359e-33
60,0,0,5.71359e-33
61,0,0,5.71359e-33
62,0,0,5.71359e-33
63,0,0,5.71359e-33
64,0,0,5.71359e-33
65,0,0,5.71359e-33
66,0,0,5.71359e-33
67,0,0,5.71359e-33
68,0,0,5.71359e-33
69,0,0,5.71359e-33
70,0,0,5.71359e-33
71,0,0,5.71359e-33
72,0,0,5.71359e-33
73,0,0,5.71359e-33
74,0,0,5.71359e-33
75,0,0,5.71359e-33
76,0,0,5.71359e-33
77,0,0,5.71359e-33
78,0,0,5.71359e-33
79,0,0,5.71359e-33
80,0,0,5.71359e-33
81,0,0,5.71359e-33
82,0,0,5.71359e-33
83,0,0,5.71359e-33
84,0,0,5.71359e-33
85,0,0,5.71359e-33
86,0,0,5.71359e-33
87,0,0,5.71359e-33
88,0,0,5.71359e-33
89,0,0,5.71359e-33
90,0,0,5.71359e-33
91,0,0,5.71359e-33
92,0,0,5.71359e-33
93,0,0,5.71359e-33
94,0,0,5.71359e-33
95,0,0,5.71359e-33
96,0,0,5.71359e-33
97,0,0,5.71359e-33
98,0,0,5.71359e-33
99,0,0,5.71359e-33
100,0,0,5.71359e-33
